Age_start;Age_end;Positive;Country;Date;Average_temperature;Death_case;Symptom
0;9;43;Italy;3/11/2020;38,7 ;No;Fever
10;19;85;Italy;3/11/2020;39,6 ;No;Fever
20;29;296;Italy;3/11/2020;39,8 ;Yes;Fever
30;39;470;Italy;3/11/2020;39,9 ;No;Fever
40;49;891;Italy;3/11/2020;38,2 ;No;Fever
50;59;1453;Italy;3/11/2020;38,3 ;Yes;Cough
60;69;1471;Italy;3/11/2020;38,7 ;Yes;Fever
70;79;1785;Italy;3/11/2020;40,0 ;Yes;Strengthless
80;120;1532;Italy;3/11/2020;39,2 ;Yes;Fever
0;9;12;Norway;3/19/2020;39,9 ;Yes;Cough
10;19;42;Norway;3/19/2020;39,7 ;Yes;Fever
20;29;162;Norway;3/19/2020;38,2 ;Yes;Fever
30;39;241;Norway;3/19/2020;39,0 ;Yes;Cough
40;49;345;Norway;3/19/2020;39,3 ;No;Cough
50;59;386;Norway;3/19/2020;39,5 ;No;Fever
60;69;150;Norway;3/19/2020;38,6 ;Yes;Fever
70;79;54;Norway;3/19/2020;38,4 ;No;Cough
80;89;22;Norway;3/19/2020;38,7 ;Yes;Cough
90;120;9;Norway;3/19/2020;38,3 ;No;Strengthless
0;9;14;Norway;3/22/2020;38,1 ;No;Fever
10;19;55;Norway;3/22/2020;39,8 ;No;Cough
20;29;230;Norway;3/22/2020;38,2 ;No;Fever
30;39;304;Norway;3/22/2020;39,9 ;Yes;Cough
40;49;450;Norway;3/22/2020;38,8 ;No;Cough
50;59;482;Norway;3/22/2020;38,1 ;Yes;Strengthless
60;69;225;Norway;3/22/2020;39,2 ;Yes;Cough
70;79;96;Norway;3/22/2020;39,9 ;Yes;Fever
80;89;54;Norway;3/22/2020;38,8 ;No;Fever
90;120;16;Norway;3/22/2020;38,3 ;No;Cough
0;9;2;Iceland;3/19/2020;38,4 ;Yes;Fever
10;19;14;Iceland;3/19/2020;38,6 ;No;Fever
20;29;31;Iceland;3/19/2020;39,7 ;No;Fever
30;39;38;Iceland;3/19/2020;38,7 ;Yes;Cough
40;49;68;Iceland;3/19/2020;38,1 ;No;Strengthless
50;59;52;Iceland;3/19/2020;38,8 ;No;Cough
60;69;39;Iceland;3/19/2020;39,1 ;No;Cough
70;79;6;Iceland;3/19/2020;39,8 ;No;Fever
80;129;0;Iceland;3/19/2020;39,9 ;No;Cough
0;9;10;Iceland;3/21/2020;38,7 ;Yes;Cough
10;19;34;Iceland;3/21/2020;39,8 ;No;Strengthless
20;29;82;Iceland;3/21/2020;39,1 ;Yes;Fever
30;39;100;Iceland;3/21/2020;39,4 ;No;Cough
40;49;149;Iceland;3/21/2020;40,0 ;Yes;Fever
50;59;109;Iceland;3/21/2020;39,9 ;No;Cough
60;69;66;Iceland;3/21/2020;38,4 ;Yes;Fever
70;79;17;Iceland;3/21/2020;38,4 ;No;Cough
80;89;0;Iceland;3/21/2020;39,6 ;Yes;Fever
90;120;1;Iceland;3/21/2020;38,9 ;No;Cough
0;19;37;Canada;3/22/2020;39,3 ;No;Fever
20;39;213;Canada;3/22/2020;39,7 ;Yes;Strengthless
40;49;132;Canada;3/22/2020;39,5 ;No;Cough
50;59;161;Canada;3/22/2020;38,8 ;No;Cough
60;69;134;Canada;3/22/2020;39,7 ;Yes;Fever
70;79;78;Canada;3/22/2020;38,5 ;No;Cough
80;120;42;Canada;3/22/2020;39,0 ;Yes;Fever
0;14;48;Czechia;3/22/2020;39,5 ;Yes;Fever
15;24;75;Czechia;3/22/2020;38,5 ;Yes;Fever
25;34;138;Czechia;3/22/2020;39,5 ;No;Cough
35;44;148;Czechia;3/22/2020;39,9 ;No;Fever
45;54;125;Czechia;3/22/2020;39,3 ;No;Strengthless
55;64;100;Czechia;3/22/2020;38,7 ;No;Fever
65;120;82;Czechia;3/22/2020;39,9 ;No;Fever
0;9;13;Danmark;3/22/2020;40,0 ;No;Cough
10;19;35;Danmark;3/22/2020;38,8 ;No;Cough
20;29;165;Danmark;3/22/2020;38,7 ;No;Cough
30;39;191;Danmark;3/22/2020;38,2 ;No;Fever
40;49;375;Danmark;3/22/2020;39,8 ;No;Fever
50;59;248;Danmark;3/22/2020;38,4 ;No;Fever
60;69;148;Danmark;3/22/2020;38,6 ;No;Strengthless
70;79;118;Danmark;3/22/2020;38,2 ;Yes;Fever
80;89;87;Danmark;3/22/2020;38,3 ;Yes;Fever
90;120;15;Danmark;3/22/2020;39,4 ;No;Strengthless
0;14;126;France;3/15/2020;39,6 ;Yes;Cough
15;44;1808;France;3/15/2020;39,5 ;Yes;Cough
45;64;2067;France;3/15/2020;38,9 ;No;Fever
65;74;850;France;3/15/2020;38,7 ;No;Fever
75;120;1236;France;3/15/2020;38,2 ;No;Cough
35;59;3883;Germany;3/21/2020;39,9 ;No;Cough
15;34;2372;Germany;3/21/2020;38,1 ;No;Cough
60;79;1760;Germany;3/21/2020;39,6 ;Yes;Fever
80;120;367;Germany;3/21/2020;38,3 ;No;Fever
5;14;341;Germany;3/21/2020;39,9 ;No;Fever
0;4;121;Germany;3/21/2020;39,9 ;Yes;Cough
0;9;23;Portugal;3/22/2020;39,7 ;Yes;Cough
10;19;57;Portugal;3/22/2020;39,9 ;Yes;Cough
20;29;187;Portugal;3/22/2020;38,7 ;Yes;Fever
30;39;288;Portugal;3/22/2020;39,7 ;Yes;Cough
40;49;314;Portugal;3/22/2020;38,4 ;No;Cough
50;59;282;Portugal;3/22/2020;39,9 ;No;Cough
60;69;213;Portugal;3/22/2020;38,8 ;No;Fever
70;79;141;Portugal;3/22/2020;38,9 ;No;Fever
80;120;95;Portugal;3/22/2020;38,6 ;Yes;Strengthless
0;9;15;Iceland;3/25/2020;39,1 ;Yes;Cough
10;19;46;Iceland;3/25/2020;38,2 ;Yes;Cough
20;29;112;Iceland;3/25/2020;39,6 ;No;Fever
30;39;128;Iceland;3/25/2020;38,5 ;Yes;Cough
40;49;182;Iceland;3/25/2020;38,8 ;Yes;Cough
50;59;136;Iceland;3/25/2020;39,2 ;No;Cough
60;69;93;Iceland;3/25/2020;39,1 ;No;Cough
70;79;23;Iceland;3/25/2020;38,6 ;Yes;Cough
80;89;1;Iceland;3/25/2020;39,8 ;No;Fever
90;120;1;Iceland;3/25/2020;38,4 ;No;Fever
0;19;58;Canada;3/25/2020;38,5 ;Yes;Cough
20;29;148;Canada;3/25/2020;40,0 ;Yes;Fever
30;39;214;Canada;3/25/2020;38,1 ;No;Fever
40;49;216;Canada;3/25/2020;39,4 ;Yes;Strengthless
50;59;236;Canada;3/25/2020;39,1 ;No;Cough
60;69;224;Canada;3/25/2020;39,2 ;No;Cough
70;79;121;Canada;3/25/2020;39,2 ;No;Cough
80;120;62;Canada;3/25/2020;38,7 ;Yes;Fever
0;14;89;Czechia;3/25/2020;38,4 ;No;Cough
15;24;128;Czechia;3/25/2020;38,1 ;Yes;Fever
25;34;225;Czechia;3/25/2020;39,7 ;Yes;Cough
35;44;272;Czechia;3/25/2020;38,8 ;Yes;Fever
45;54;240;Czechia;3/25/2020;39,5 ;No;Strengthless
55;64;190;Czechia;3/25/2020;39,3 ;No;Cough
65;120;168;Czechia;3/25/2020;38,2 ;Yes;Cough
0;9;13;Danmark;3/25/2020;39,6 ;No;Cough
10;19;40;Danmark;3/25/2020;39,5 ;Yes;Fever
20;29;179;Danmark;3/25/2020;39,6 ;Yes;Cough
30;39;211;Danmark;3/25/2020;38,7 ;No;Cough
40;49;420;Danmark;3/25/2020;39,2 ;Yes;Fever
50;59;309;Danmark;3/25/2020;38,4 ;No;Strengthless
